Id,ProjectIdentifier,ProjectName,ApplicationDate,AmountGrantRequested,AmountGrantApproved,DateGrantApproved,AmountGrantPaid,DateGrantPaid,ProjectDescription,StatusCode_Id,StatusDescription,ProjOfficerRecommendation,TargetCompletionDate,Region_Id,District_Id,Keywords,Summary,ProjOfficer_Id,Problems,StatusCodeDate,StrengthsWeaknesses,FinanceOtherFunders,LocalContribution,WebSitePicture,WebSitePictureDescription,Latitude,Longitude,DocumentsUrl,PublicDocumentsUrl,ImpactOfProject,LastUpdated,TotalProjectCost,LastUpdatedBy
1589,739,"Pre-Form 1 Teaching Project",NULL,NULL,NULL,NULL,2500,NULL,NULL,9,NULL,NULL,NULL,3,12,"Private project, Eddie Byers Foundation
English teaching in preparation for secondary school",NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-07-09 11:32:17",NULL,ApplicationstotheTanzaniaDevelopmentTrust
1590,740,"VDG Vanilla Development Group, Ngara, Kagera","2019-07-09 00:00:00",4727,NULL,NULL,NULL,NULL,NULL,17,"This is a large application from an unknown NGO.  After investigation by Ahia who we funded for his glasses project, and attended 3 days training with Alpha in Muleba and runs a well respected NGO, it transpires this NGO was set up to benefit a family group only. ","Recommend rejection as does not benefit community.",NULL,4,18,"CBO, vanilla farming, IGA","An NGO set up to benefit family members only. ",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://tdt3.azurewebsites.net/Errors/Default?aspxerrorpath=/default,,NULL,"2019-11-24 14:05:23",6102.0000,ApplicationstotheTanzaniaDevelopmentTrust
1591,741,"Mayani Village Water Supply, Musoma","2019-07-09 00:00:00",5764,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,5,27,"village water supply",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218625&cid=F58F41920BFFDE6E,,NULL,"2019-07-23 07:43:23",5939.0000,ApplicationstotheTanzaniaDevelopmentTrust
1592,742,"Saidia Watoto, Computers for orphans & vulnerable children, Musoma","2019-07-09 00:00:00",3521,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,5,27,"vulnerable children & orphans, computers",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218628&cid=F58F41920BFFDE6E,,NULL,"2019-07-23 07:44:07",3696.0000,ApplicationstotheTanzaniaDevelopmentTrust
1593,743,"Posho Milling Machine, Musoma","2019-07-09 00:00:00",2220,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,5,27,"milling machine, women, CBO, IGA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218631&cid=F58F41920BFFDE6E,,NULL,"2019-07-23 07:45:04",2464.0000,ApplicationstotheTanzaniaDevelopmentTrust
1594,744,"Mayani Village, sewing machines, Musoma","2019-07-10 00:00:00",2619,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,5,27,"30 sewing machines; orphans and vulnerable children (OVC's)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218634&cid=F58F41920BFFDE6E,,NULL,"2019-07-23 07:46:08",2793.0000,ApplicationstotheTanzaniaDevelopmentTrust
1595,745,"SHIPIP Pig Keeping, Shinyanga","2019-07-22 00:00:00",2200,NULL,NULL,NULL,NULL,NULL,4,"03 ","Recommend funding  £2200",NULL,1,19,"piglet purchase, women headed households, IGA"," 745 is a new application but links to previous TDT funding 589 for similar project but in a different Ward.
PG & WS visited march 2020.
This application is to expand pig keeping for women headed households in 2 new Wards to give income generation to these marginalised women. 
We were impressed with the current women's pig keeping and management. Lifeline is a supportive NGO with good community relationships.  They report regularly and give good feed back. 
If TDT can support this application Lifeline will provide all necessary training through SIDO.  Their original budget is for support of 40 women, giving them  2 piglets each.  During discussions , having explained TDT's lack of available funds, we agreed that we would reduce their application by half, asking to support 20 women.  Lifeline would then be able to gradually increase the number of women into the project by using, the 'pass on ' system once the 1st pigs have farrowed.
I would recommend supporting this application with a budget of £2200 as per budget on the DB.",1015,NULL,2020-04-23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218643&cid=F58F41920BFFDE6E,,NULL,"2020-04-30 11:47:13",4707.0000,ApplicationstotheTanzaniaDevelopmentTrust
1596,746,"FAGDIPE Farmers Group for Disabled, Mkuranga, Pwani","2019-08-11 00:00:00",5388,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,7,43,"disabled farmers, power tiller, water pump, seeds and tools",NULL,1019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218651&cid=F58F41920BFFDE6E,,NULL,"2019-10-04 13:26:20",5442.0000,ApplicationstotheTanzaniaDevelopmentTrust
1597,747,"Kwa Pamoja, Brick Making, Manyoni","2019-08-19 00:00:00",3962,NULL,NULL,NULL,NULL,NULL,19,"Kevin: On 10 December 2019 I asked Wilhard to contact the applicants Eliud and Maria who had no email. I offered to meet them in February 2020. I told Wilhard that I want to know what has happened to the brick making machine we bought for Sanmaria Youth in Manyoni before assessing this application.","I met this group of young people in Manyoni in February with Wilhard. Wilhard supports the bid.  The application is well thought through, they have a plot for their brick making project and there is plenty of demand for bricks.  However, several of the young people have other sources of income. One makes shirts. Another has a large grocery shop.  So, compared to young people in the villages these urban young people are relatively well off.  I cannot therefore prioritise their bid given our limited funds and I recommend that we reject it.",NULL,18,51,"Bricks, Vibrator machine, 3 phase electric connection",NULL,5,NULL,2020-05-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218665&cid=F58F41920BFFDE6E,,NULL,"2020-05-15 14:20:09",3962.0000,ApplicationstotheTanzaniaDevelopmentTrust
1598,748,"Sindano SS, Laboratory/Classroom","2019-09-19 00:00:00",6431,54200,NULL,NULL,NULL,NULL,6,NULL,"Application from the Headteacher, and Godfrey as the Government Ward Officer to Sindano was a second signator on the application  for completing 3 science lab classrooms.  Sindano Secondary school serves 5 villages in a 12 to 15 mile radius.. The school is operated by the government though it was established by the community itself 10 years ago. The school has about six rooms which are used as classrooms. It has 151 students in the school at present.  77 Girls and 74 boys. The original request had been for an amount of about £20,000,  In discussion with Mr Mwemi, it was clear that the subject pulling the final Form marks down was Science. . Having visited in August and been shown around the classrooms, it was clear that they were presently a wasted resource and in very good condition, ( see photographs). 

After reworking some of the costs I recommend TDT fund complete 1 classroom, stools, benches, gas fitting and infrastructure and water infrastructure but not the SIM Tank and connections. This amounts to Tz/- 15,077,250 or £5200 with an exchange rate of 2,900/- per pound. The headteacher has the chemicals for lessons, and he  can obtain water on the site from a few hundred metres away.. He has one Science teacher. Godfrey has been in contract with DED to request the SIMTank and for further Science teachers. Godfrey will oversee the project.
If the SIM Tank was added it would cost Tz/- 18,652,250 or £6431",NULL,8,57,NULL,"Application from the Headteacher, and Godfrey as the Government Ward Officer to Sindano was a second signator on the application  for completing 3 science lab classrooms.  Sindano Secondary school serves 5 villages in a 12 to 15 mile radius.. The school is operated by the government though it was established by the community itself 10 years ago. The school has about six rooms which are used as classrooms. It has 151 students in the school at present.  77 Girls and 74 boys. The original request had been for an amount of about £20,000,  In discussion with Mr Mwemi, it was clear that the subject pulling the final Form marks down was Science. . Having visited in August and been shown around the classrooms, it was clear that they were presently a wasted resource and in very good condition, ( see photographs). After reworking some of the costs I recommend TDT fund complete 1 classroom, stools, benches, gas fitting and infrastructure and water infrastructure but not the SIM Tank and connections. This amounts to Tz/- 15,077,250 or £5200 with an exchange rate of 2,900/- per pound. The headteacher has the chemicals for lessons, and he  can obtain water on the site from a few hundred metres away.. He has one Science teacher. Godfrey has been in contract with DED to request the SIMTank and for further Science teachers. Godfrey will oversee the project.
If the SIM Tank was added it would cost Tz/- 18,652,250 or £6431",6,NULL,2019-09-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218673&cid=F58F41920BFFDE6E,,NULL,"2019-11-24 17:48:14",NULL,ApplicationstotheTanzaniaDevelopmentTrust
1599,749,"Palm Oil Processing Machines, Kigoma Ujiji","2019-09-23 00:00:00",5220,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,3,3,"existing project, youth, rehab. of existing w/shop, & purchase of machines",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218681&cid=F58F41920BFFDE6E,,NULL,"2019-09-23 08:58:04",6708.0000,ApplicationstotheTanzaniaDevelopmentTrust
1600,750,"AWATA, Fruit Sellers, Shinyanga","2019-09-25 00:00:00",1398,NULL,NULL,NULL,NULL,NULL,4,03,"PG. I visited this group with William Shayo, 2 March 2020.
AWATA is a group of 5 disabled fruit sellers.
They could not justify the reasons for needing a fridge or describe how it would help them with their income. They are a very disorganised group with no records to show us.
During discussions, there was doubt that they in fact intended to use the fridge for storing fruit. 
Neither of us can recommend this project for funding.",NULL,1,19,"disabled, fruit sellers , IGA, fridge",NULL,1015,NULL,2020-04-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218689&cid=F58F41920BFFDE6E,,NULL,"2020-04-15 10:09:53",1398.0000,ApplicationstotheTanzaniaDevelopmentTrust
1601,751,"Tunaweza disabled tailoring, Shinyanga","2019-09-25 00:00:00",1398,NULL,NULL,NULL,NULL,NULL,4,03,"Can not recommend.",NULL,1,19,"disabled, IGA, over-locking machine , weaving loom","PG Visited March with William Shayo.
This is a small group of physically disabled , 4 men and 1 women.  She does all the work, including training other women, but she has to share profits with the other 4 men!  They do nothing towards the business.
Do not keep any records and accounts.
This is a sad situation, but neither of us felt we could justify recommendation.",1015,NULL,2020-04-21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218693&cid=F58F41920BFFDE6E,,NULL,"2020-04-21 08:07:49",1398.0000,ApplicationstotheTanzaniaDevelopmentTrust
1602,752,"KIWAVI Income Generation, Shinyanga","2019-09-25 00:00:00",650,NULL,NULL,NULL,NULL,NULL,4,03,"Part funding recommended for batik materials and one sewing machine Total £650",NULL,1,19,"IGA, disabled, batik, soap, handbags","PG / WS visited March' 20 This is a small group of women with hearing disability.
They were all deaf, and one was deaf mute.  A sign language translator was required to communicate.

They have received entrepreneurship training from SIDO and obviously benefited from it.   They make a range of products; soap for toilets, handbags, batik, tailored items etc.  They clearly showed us that if a product didn't sell they dropped production e.g. body oil.
Batik was their best seller.
I recommend TDT support this group with their IGA's with materials required for the batik production, and another sewing machine, totalling £650",1015,NULL,2020-04-21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218696&cid=F58F41920BFFDE6E,,NULL,"2020-04-30 11:45:55",1221.0000,ApplicationstotheTanzaniaDevelopmentTrust
1603,753,"MWUI Disabled Pig Project, Shinyanga","2019-09-25 00:00:00",1328,NULL,NULL,NULL,NULL,NULL,4,03,"Do not recommend funding",NULL,1,19,"disable , pig IGA, pen construction and piglet purchase","PG Visited with William Shayo, March '20.
This is a group with various disabilities.Physical, visual and albinism.
On paper this appeared to be a good application.However, the pigs are being kept in very poor conditions and were not being managed or looked after effectively.  They were asking to increase pig numbers, which they intended to keep in the same buildings.  This would be far too many for the size of piggery.
All the applicants have other businesses.
Can't support this project as is.  But will write to encourage them to consider extending the buildings and improving management.  They are very close to town so WS can monitor if they are doing this.
",1015,NULL,2020-04-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218700&cid=F58F41920BFFDE6E,,NULL,"2020-04-22 09:50:06",1328.0000,ApplicationstotheTanzaniaDevelopmentTrust
1604,P754,"Aseri's Agricultural Training Project","2019-09-24 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,2019-09-24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-09-25 09:06:18",NULL,ApplicationstotheTanzaniaDevelopmentTrust
1605,755,"DUHAMABI Vulnerable Girls Sewing Group, Kigoma","2019-09-25 00:00:00",3375,1000,"2020-03-04 00:00:00",NULL,NULL,NULL,7,"Kevin writes: In October 2019 I asked Evelyn to investigate the links between this group and a previous grantee 'Women and Girls' 546. In December 2019 Kevin asked Evelyn again. I have a memory that I have already dealt with an application from this applicant Christina Rwelamila. There is a budget error. They have asked for 5 million for 2 machines but it appears they only need one at a cost of 2.5m less.","We supported this organisation with sewing machines so that they could train girls. The training continues. When I visited in February the class was well organised. 40 girls have ‘graduated’ so far. This request is to give the ‘graduates’ access to sewing machines so that they can use their new skills to earn money by making clothes, especially school uniforms. DUHAMABI will meet the cost of renting a room. I spoke to the girls. None has a machine at home. They all said they could fund their own materials. I support this approach. Otherwise the training and the girls’ new skills will be wasted. I recommend a grant of 3 million shillings for the purchase of 10 sewing machines and 10 chairs. ",NULL,3,10,"sewing machines, vulnerable girls, IGA",NULL,5,NULL,2020-03-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218703&cid=F58F41920BFFDE6E,,NULL,"2020-03-19 13:38:43",3445.0000,ApplicationstotheTanzaniaDevelopmentTrust
1606,756,"Kiabakari SS. Electricity supply & IT equip. Butiama","2019-09-26 00:00:00",2439,NULL,NULL,NULL,NULL,NULL,3,NULL,"I visited this school in Butiama district in March 2020.  Several girls from Rhobi's safe house attend.  The application is for electricity connection - TANESCO poles are nearby.  They also want 3 laptops, 2 projects, tables and chairs. I recommend a grant of £1,000 so that electricity can be connected to some classrooms, the laboratories and the administration block.",NULL,5,20,"Electricity installation for classrooms, +admin. block 
IT equipment",NULL,5,NULL,2020-05-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218711&cid=F58F41920BFFDE6E,,NULL,"2020-05-15 14:21:18",2439.0000,ApplicationstotheTanzaniaDevelopmentTrust
1607,P757,"Robert Young Medical Training for Melita Moinget Ole Kuney","2019-10-04 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218725&cid=F58F41920BFFDE6E,,NULL,"2019-10-04 13:21:11",NULL,ApplicationstotheTanzaniaDevelopmentTrust
1608,758,"HUVIWASA Charcoal Briquette Production, Kigoma","2019-10-18 00:00:00",2732,1885,"2020-03-04 00:00:00",NULL,NULL,NULL,7,"Kevin: On 29 December I wrote asking for a) a letter of support from the DED b) cv and photos of the two applicants c) a complete list of board members d) registration certificate of the CBO.  Ahadi confirmed on 21 March 2020 that swift code is EXTNTZTZ.","I met HUVIWASA leaders at their training centre in Kigoma in February. The organisation is led by the impressive Ahadi Samson, a young Chair with commitments to both young disadvantaged people and the environment. They have already trained young people in soap and peanut butter production.  He and his colleague Charles Rukwigwa have been trained by SIDO in the production of biomass    charcoal briquettes and energy saving stoves. They plan to train 15 young people initially, both boys and girls,  in briquette making. Currently there is no competition in Kigoma so Ahadi is confident of a market for the briquettes which will reduce demand for charcoal and produce no smoke. After a four months’ programme the intention is to use the profits from sales to equip the 15 ‘graduates ‘ with their own briquette making machine. I recommend that we support them with funds to purchase three briquette making machines. We could consider energy saving stove production at a later date. I have a hunch that Ahadi has the calibre of Hamza in  NODIP in Singida and Nelson in Y4SED in Dodoma. I therefore recommend a grant of 5,600,000 shillings to cover three machines and delivery. ",NULL,3,3,"sustainable charcoal briquette production, IGA for youth",NULL,5,NULL,2020-03-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218726&cid=F58F41920BFFDE6E,,NULL,"2020-03-21 12:54:40",3212.0000,ApplicationstotheTanzaniaDevelopmentTrust
1609,759,"Marumba Primary Schl. Office Equipment","2019-11-05 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,8,57,"Photocopier and computer, Eucanaid",NULL,6,NULL,2019-11-05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218738&cid=F58F41920BFFDE6E,,NULL,"2020-03-04 13:19:56",NULL,ApplicationstotheTanzaniaDevelopmentTrust
1610,760,"Classroom completion, Mwembeni Primary s. Manyoni","2019-11-14 00:00:00",5558,NULL,NULL,NULL,NULL,NULL,4,03,"Recommend but with reduced budget as per notes",NULL,18,51,"classroom completion, primary school, ","TDT Ref. 760
Mwembeni Primary School, Manyoni, Singida

Application:
To complete 1 wing with 3 classrooms (already up to lintel height)

PG visited with LR, Wilhard Titus in March 2020.  Met with Headmaster, other staff and Chair of Mwmbeni street area.  Mr. Salutali Joachim was extremely helpful and enthusiastic.

The school has a good complement of teachers – 28? Due to the high number of children, they teach in 2 shifts per day (a.m. and p.m.) but are still doing well in the League Tables.

They showed us the current classroom situation.  There is one block , originally constructed with mud bricks, they have now condemned and no longer use.  I discussed the possibility of renovating but they dismissed this idea.
Classrooms in use are basic but have chalk boards, and some furniture, much of which was donated by NMB Bank, Manyoni.

The Community, have over a long period of time, donated funds to assist with the building of 2 new wings, each with 3 classrooms.  The DED directed the roofing materials be provided by the Forestry Commission.  (This already happened for one wing, but they still have to secure timber for the other wing) 

The school have contracted for the initial building which has been completed in both wings up to lintel height.  More available funds through the Community have also enabled part roofing of one of these.  
The TDT application is requesting assistance to complete the unfinished and un-roofed wing for the sum of 16 million TZS.  So far, for the one wing, the local contribution is around 12 million shillings.

During discussions, it was decided that certain items be reduced in their budget as below.  This includes the possibility of further sponsorship from NMB or similar, for the desks and furniture required.

Wilhard Titus will be able to monitor this project should the Committee be able to accept and go ahead with funding.

Total is approx. 3250 UK Pounds excluding desks and window glass.  I recommend funding this",1015,NULL,2020-04-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218739&cid=F58F41920BFFDE6E,,NULL,"2020-05-05 20:00:32",5558.0000,ApplicationstotheTanzaniaDevelopmentTrust
1611,761,"TUINUANE women's Group, Income Generation, Kagera","2019-11-14 00:00:00",4796,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,4,73,"income generation, women, food processing, marketing, milling machine, store",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218745&cid=F58F41920BFFDE6E,,NULL,"2019-12-09 11:35:43",6485.0000,ApplicationstotheTanzaniaDevelopmentTrust
1612,762,"HUYAWATA Water source improvements, Kagera","2019-11-14 00:00:00",3379,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,4,7,"water improvements , 2 villages Buhaija  & Buyera",NULL,1020,NULL,2019-11-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218750&cid=F58F41920BFFDE6E,,NULL,"2019-11-14 14:12:51",3744.0000,ApplicationstotheTanzaniaDevelopmentTrust
1613,763,"HUYAWATA Water source improvements, Kagera","2019-11-14 00:00:00",3379,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,4,7,"water improvements in Ihama & Kabutoto villages",NULL,1020,NULL,2019-11-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218755&cid=F58F41920BFFDE6E,,NULL,"2019-11-14 14:19:16",3744.0000,ApplicationstotheTanzaniaDevelopmentTrust
1614,690a,"Bidii Pigs Shinyanga, extension of original project","2019-12-09 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,3,"02 being monitored by William Shayo.  If OK will put to Committee in Sept.",NULL,NULL,1,19,"Extension to project Ref.# 690 requesting more funds to expand current project","PG / WS visited in March 2020.
Training and pig shelters carried out and the first pigs had just started to farrow when we visited.  Women very enthusiastic and managing the pigs well, although they all worried that it was difficult to get enough feed for the pigs. All we saw were healthy but lean.
This current group #690 will pass on pigs to the next group.  Each woman has signed a contract to say this will happen.
During discussion, it was decided that William Shayo will monitor this project and wait to see the pass on system is working before TDT can consider supporting expansion of this project to the new groups.  The first group of women are enthusiastic and doing well.  They said they had learnt from initial mistakes (under budgeting for initial feed etc) and will be able to advise the new women.",1015,NULL,2019-12-09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218778&cid=F58F41920BFFDE6E,,NULL,"2020-04-27 09:03:11",NULL,ApplicationstotheTanzaniaDevelopmentTrust
1615,764,"Tunakumbuka SS, ","2019-11-20 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,5,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218781&cid=F58F41920BFFDE6E,,NULL,"2019-12-09 17:02:27",NULL,ApplicationstotheTanzaniaDevelopmentTrust
1616,765,"Ikondo SS. Materials for classroom completion Muleba.","2019-12-09 00:00:00",2088,2088,"2019-12-09 00:00:00",2088,"2019-12-09 00:00:00",NULL,11,"After a very successful preform one programme Ikondo was expecting an increase of over 100 pupils to start form 1 in January 2020, without a classroom for them.  ","After a donation of £2000 from Julian Harty's mother for education projects it was decided to spend this on completing the necessary classroom for them.  Building commenced Dec 19.","2020-01-04 00:00:00",4,7,"classroom, school, ","A necessary addition to this very successful school where TDT has funded a hostel, science equipment and a preform one class, and where rep Ngailla Alpha teaches. ",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218782&cid=F58F41920BFFDE6E,,NULL,"2019-12-15 10:17:20",2088.0000,ApplicationstotheTanzaniaDevelopmentTrust
1617,766,"UWABUKA UMOJA Water Tank, Kyerwa, Kagera","2019-12-10 00:00:00",2627,NULL,NULL,NULL,NULL,NULL,24,"This is in Karagwe",NULL,NULL,4,73,"CBO, water tank, gardening, access to clean water",NULL,NULL,NULL,2020-02-04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218788&cid=F58F41920BFFDE6E,,NULL,"2020-02-04 12:06:29",3055.0000,ApplicationstotheTanzaniaDevelopmentTrust
1618,767,"CEDO - Orange Flesh Sweet Pot. Production, Tabora","2019-12-15 00:00:00",5900,NULL,NULL,NULL,NULL,NULL,4,03,"Recommend scaling down this project and to monitor success through WS before possibly considering further funding",NULL,2,69,"women & children, nutrition, IGA, orange fleshed sweet potatoes, vitamin A,farming , irrigation","PG Visited March '20 with W Shayo.
This is an NGO, new to TDT.  They are well established and good community development experience.  Their application is to promote orange fleshed sweet potato (OFSP) for improved nutrition and IGA . Staff are committed and several attended training in foood processing and cultivation of OFSP.
Although widely grown there is a lack of understanding on the nutritional benefits with improved varieties especially within the vulnerable groups they are already working with. e.g. women headed households and youth.
They intend to dry the crop with solar driers to maintain the nutritional quality and increase it's marketability.
Their application was to start working with 6 separate groups.  We discussed with them that it is better to start with just 1 or 2 groups to prove the success of the concept which William will be able to monitor.  This means a considerable scaling down from their original application.  I would like to recommend that we support CEDO with this application for the sum of £1550 which will enable them to start with 2 groups, each growing 1 acre of OFSP.


",1015,NULL,2020-04-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218800&cid=F58F41920BFFDE6E,,NULL,"2020-05-05 19:58:08",6378.0000,ApplicationstotheTanzaniaDevelopmentTrust
1619,768,"RANGO, Community Capacity Building, Sumbawanga, Rukwa","2019-12-27 00:00:00",5330,NULL,NULL,NULL,NULL,NULL,19,NULL,"I visited this group with Anselmo in February 2020. We began at their office in Sumbawanga and then visited two primary schools and one farmers' group not far from town. Their proposal is to plant fruit trees in 4 primary schools and one farmers' group.  Anselmo commented that 'this project would be very difficult to manage'. There is no doubt lots of scope for planting fruit trees in primary schools. Challenges include protecting them from marauding goats and ensuring that they are watered when schools are closed. This application is typical of those we receive from urban NGOs.  Much of the budget aims to fund the NGO itself - vehicle hire, purchase of laptops, trainers' fees, 'disturbance allowances' for those who attend training courses, monitoring and evaluation costs (£866). I don't think it's a cost effective way to support tree planting in villages. I recommend that we reject it.",NULL,13,25,"IGA, fruit, food security, tree planting, environment",NULL,5,NULL,2020-05-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218811&cid=F58F41920BFFDE6E,,NULL,"2020-05-15 14:22:11",8328.0000,ApplicationstotheTanzaniaDevelopmentTrust
1620,769,"Zeze Sec. Sch.classroom , Kasulu","2020-01-06 00:00:00",2517,NULL,NULL,NULL,NULL,NULL,4,"Zeze has had a huge increase in the number of Form 1 students enrolled, needing 2 new classrooms.  They have succeeded in building one through community contributions, and the 2nd to lintel height, but have now exhausted all funds.","Recommend funding in full.  We have very good links with this school who are part of the preform 1 programme",NULL,3,12,"classroom completion, schools, education","A strong government secondary school in a deprived and remote village. ",10,NULL,2020-01-06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218825&cid=F58F41920BFFDE6E,,NULL,"2020-02-06 11:12:16",7945.0000,ApplicationstotheTanzaniaDevelopmentTrust
1621,770,"Burungura Women's Vegetable Growers, Muleba","2020-02-04 00:00:00",2898,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,4,7,"women, IGA, water, irrigation, garden inputs",NULL,10,NULL,2020-02-04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218888&cid=F58F41920BFFDE6E,,NULL,"2020-02-04 17:14:00",4362.0000,ApplicationstotheTanzaniaDevelopmentTrust
1622,771,"TUJIUNGE Women's Sewing Group, Burunguru, Muleba","2020-02-04 00:00:00",1663,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,4,7,"Women, IGA, sewing machines and materials",NULL,10,NULL,2020-02-04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?id=F58F41920BFFDE6E%218895&cid=F58F41920BFFDE6E,,NULL,"2020-02-04 17:15:04",1996.0000,ApplicationstotheTanzaniaDevelopmentTrust
