Id,Project_Id,DocName,FilePath,Description,DocCategory
958,44,"TDT Funds Report  May 2014 Helen Paul Pemba.pdf","~/CMS/Docs/44/--Please Select--/TDT Funds Report  May 2014 Helen Paul Pemba.pdf","Helen's report with photos etc edit by JC May 2014","Project Report"
959,53,"Kibirizi re confirm of equipment records in stock lists etc may 2014.eml","~/CMS/Docs/53/General Correspondence/Kibirizi re confirm of equipment records in stock lists etc may 2014.eml","Confirmaiton of records up date in schhool equipment ","General Correspondence"
960,67,"Ebeneza Re LETTER FROM TO LEADER.eml","~/CMS/Docs/67/Contract/Ebeneza Re LETTER FROM TO LEADER.eml","Message to Ebeneza from DG re grant approval and contrract form 14th May 2014 ( JP for DG)",Contract
961,56,"Samia Khatun visit questions for school visits from Hilden Charitable Trust.eml","~/CMS/Docs/56/General Correspondence/Samia Khatun visit questions for school visits from Hilden Charitable Trust.eml","Samia visit from Hiilden - questions for schools from JP ","General Correspondence"
962,67,"342 Ebeneza  TDT  EBENEZA GROUP AGREEMENT.eml","~/CMS/Docs/67/Contract/342 Ebeneza  TDT  EBENEZA GROUP AGREEMENT.eml","Email from Ndtala to DG including signed contract:  (+ JP 19th May 2014)",Contract
963,67,"The Britain.docx","~/CMS/Docs/67/Contract/The Britain.docx","Ebenza  signed contract:  (+ JP 19th May 2014)",Contract
964,67,"JOSEPH NDATALA ID CARD.doc","~/CMS/Docs/67/Contract/JOSEPH NDATALA ID CARD.doc","Ebenza ID cards:  (+ JP 19th May 2014)","Documents supporting Application form"
965,67,"KWANDU BUHONGOID CARD.doc","~/CMS/Docs/67/Contract/KWANDU BUHONGOID CARD.doc","Ebenza ID cards:  (+ JP 19th May 2014)","Documents supporting Application form"
966,67,"Ebeneza Re LETTER FROM TO LEADER.eml","~/CMS/Docs/67/General Correspondence/Ebeneza Re LETTER FROM TO LEADER.eml","Message from DG re grant confirmastion and contract (+JP 19th May 2014)","General Correspondence"
967,30,"333 Miswaki sch solar Grant approval message JP 19th May 2014.eml","~/CMS/Docs/30/General Correspondence/333 Miswaki sch solar Grant approval message JP 19th May 2014.eml","Message to School re grant approval and contract (+JP 19th May 2014)","General Correspondence"
968,117,"Nilusha VSO 5004 Thank you message etc may 2014.eml","~/CMS/Docs/117/General Correspondence/Nilusha VSO 5004 Thank you message etc may 2014.eml",NULL,"General Correspondence"
969,30,"333 Miawaki solar contract received email.eml","~/CMS/Docs/30/Contract/333 Miawaki solar contract received email.eml","Email with contract attached and changed bank details (+ JP for TJ 20th May 2014)",Contract
971,30,"SOLA 2.jpg","~/CMS/Docs/30/Contract/SOLA 2.jpg","Contract page 2 Jpeg ( + JP 20th may 2014)",Contract
972,30,"Email correction re amount statted by JP .eml","~/CMS/Docs/30/General Correspondence/Email correction re amount statted by JP .eml","Message re correction to amount agreed by committee -(JP 20th May 2014 ","General Correspondence"
973,30,"Corrected amount contract page 1.pdf","~/CMS/Docs/30/Contract/Corrected amount contract page 1.pdf","Contract page 1 with corrected grant agreed att £2,200",Contract
974,11,"20.05.14 outcome of recent TDT committee meeting.eml","~/CMS/Docs/11/Other Correspondence/20.05.14 outcome of recent TDT committee meeting.eml","20.05.14 Email to KADEF re Outcome after TDT meeting May '14 and visit by Kevin Curley","Other Correspondence"
975,76,"20.05.14 DAAT trainer allowance funding.eml","~/CMS/Docs/76/Other Correspondence/20.05.14 DAAT trainer allowance funding.eml","20.05.14 Email to KAYD re payment of 2nd tranche of DAAT funding","Other Correspondence"
977,30,"333 Agreement re amended contract to  2200.eml","~/CMS/Docs/30/Contract/333 Agreement re amended contract to  2200.eml","Agreement from Shingisha re amended contract amount to £2,2000. (++JP 20th May 2014)",Contract
978,108,"Mobile rejection.htm","~/CMS/Docs/108/General Correspondence/Mobile rejection.htm","Rejection email 2 June 2014","General Correspondence"
979,27,"20.05.14 KAYD report for Annul Report 14.docx","~/CMS/Docs/27/Project Report/20.05.14 KAYD report for Annul Report 14.docx","KAYD report for 262 and 252A form PG (+JP 21 May 2014)","Project Report"
980,27,"KAYDD picture.JPG","~/CMS/Docs/27/Project Report/KAYDD picture.JPG","KAYD report - picture of construction from PG (+JP 21 May 2014)","Project Report"
981,27,"Phill email re data base.eml","~/CMS/Docs/27/General Correspondence/Phill email re data base.eml","email from PG re data base problems (+JP 21st May 2014)","General Correspondence"
982,118,TDTApplicationFormJan2014.docx,"~/CMS/Docs/118/Application Form/TDTApplicationFormJan2014.docx","Application Form","Application Form"
983,118,"Detailled budget.doc","~/CMS/Docs/118/Documents supporting Application form/Detailled budget.doc",Budget,"Documents supporting Application form"
984,118,"A drawing of the project.jpg","~/CMS/Docs/118/Documents supporting Application form/A drawing of the project.jpg","Drawing of the Project","Documents supporting Application form"
985,118,"Godfrey Makenzi Proposer.jpg","~/CMS/Docs/118/Documents supporting Application form/Godfrey Makenzi Proposer.jpg","Godrey Makenzi picture","Documents supporting Application form"
986,118,"Msham Mtaji a 2nd contact person.jpg","~/CMS/Docs/118/Documents supporting Application form/Msham Mtaji a 2nd contact person.jpg","Msham Mtaji picture","Documents supporting Application form"
987,118,"Profoma invoice.jpg","~/CMS/Docs/118/Documents supporting Application form/Profoma invoice.jpg","Pro Forma Invoice","Documents supporting Application form"
988,118,"PROJECT LOCATION.doc","~/CMS/Docs/118/Documents supporting Application form/PROJECT LOCATION.doc","Project Location","Documents supporting Application form"
989,118,"Reference letter.jpg","~/CMS/Docs/118/Documents supporting Application form/Reference letter.jpg","DED letter of Reference","Documents supporting Application form"
990,118,"Miungo Water Project.htm","~/CMS/Docs/118/General Correspondence/Miungo Water Project.htm","Initial email exchange 10th-22nd May 14","General Correspondence"
991,119,TDTApplicationFormJan20142.docx,"~/CMS/Docs/119/Application Form/TDTApplicationFormJan20142.docx","Application Form","Application Form"
992,119,"RE APPLICATION FOR GRANT.htm","~/CMS/Docs/119/General Correspondence/RE APPLICATION FOR GRANT.htm","Initial email exchange including rejection","General Correspondence"
993,120,"ngasamo secondary schoolsimiyu.doc","~/CMS/Docs/120/Documents supporting Application form/ngasamo secondary schoolsimiyu.doc","Description of school","Documents supporting Application form"
994,120,"PICHA 30001.pdf","~/CMS/Docs/120/Documents supporting Application form/PICHA 30001.pdf","Picture 1","Documents supporting Application form"
995,120,"PICHA 30002.pdf","~/CMS/Docs/120/Documents supporting Application form/PICHA 30002.pdf","Picture 2","Documents supporting Application form"
996,120,"PICHA 30003.pdf","~/CMS/Docs/120/Documents supporting Application form/PICHA 30003.pdf","Picture 3","Documents supporting Application form"
997,120,"PICHA 30004.pdf","~/CMS/Docs/120/Documents supporting Application form/PICHA 30004.pdf","Picture 4","Documents supporting Application form"
998,120,"PICHA 30005.pdf","~/CMS/Docs/120/Documents supporting Application form/PICHA 30005.pdf","Picture 5","Documents supporting Application form"
999,120,"PICHA 30006.pdf","~/CMS/Docs/120/Documents supporting Application form/PICHA 30006.pdf","Picture 6","Documents supporting Application form"
1000,120,"RE Girls dormitory construction for two phase in Ngasamo villageSimiyu region.htm","~/CMS/Docs/120/General Correspondence/RE Girls dormitory construction for two phase in Ngasamo villageSimiyu region.htm","Initial email exchange 15-22 May 14","General Correspondence"
1001,121,"VSO 5006 Evelyn  Mwelu application.doc","~/CMS/Docs/121/Application Form/VSO 5006 Evelyn  Mwelu application.doc","VSO Small grant application","Application Form"
1002,121,"VSO 5006 Evelyn  Mwelu letter of support.pdf","~/CMS/Docs/121/Documents supporting Application form/VSO 5006 Evelyn  Mwelu letter of support.pdf","Support letter.  ","Documents supporting Application form"
1003,122,"VSO 5007 Chris Takyuka application.doc","~/CMS/Docs/122/Application Form/VSO 5007 Chris Takyuka application.doc",NULL,"Application Form"
1004,114,"369 and 372 Lindi Questions to Linus June 1st Two project applications.eml","~/CMS/Docs/114/General Correspondence/369 and 372 Lindi Questions to Linus June 1st Two project applications.eml","Questions to Linus post W List discussion JP DC JDM ","General Correspondence"
1005,118,"369 and 372 Lindi Questions to Linus June 1st Two project applications.eml","~/CMS/Docs/118/General Correspondence/369 and 372 Lindi Questions to Linus June 1st Two project applications.eml","Questions to Linus post discussion on W List","General Correspondence"
1006,94,"FPA reply re Applicatiion to TT  No 356.eml","~/CMS/Docs/94/General Correspondence/FPA reply re Applicatiion to TT  No 356.eml","Message to FPA re waiting list decision 1 June 2014 JP","General Correspondence"
1008,99,"Rusodi projectrufiji map 1.pdf","~/CMS/Docs/99/Documents supporting Application form/Rusodi projectrufiji map 1.pdf","Map showing villages","Documents supporting Application form"
1009,115,"370  Masakelo School desks.  Leter to Albert re costs JP 1st June 2014.eml","~/CMS/Docs/115/General Correspondence/370  Masakelo School desks.  Leter to Albert re costs JP 1st June 2014.eml","emaill to Albert re costs of desks JP 1/06/2014","General Correspondence"
1010,114,"369 and 372 waiting list enquiry Lindi  Linus reply re two projecct enquiries on waiting list 1st June 2014 JP.eml","~/CMS/Docs/114/General Correspondence/369 and 372 waiting list enquiry Lindi  Linus reply re two projecct enquiries on waiting list 1st June 2014 JP.eml","Response from Linus 1st June 2014  + JP","General Correspondence"
1011,118,"369 and 372 waiting list enquiry Lindi  Linus reply re two projecct enquiries on waiting list 1st June 2014 JP.eml","~/CMS/Docs/118/General Correspondence/369 and 372 waiting list enquiry Lindi  Linus reply re two projecct enquiries on waiting list 1st June 2014 JP.eml","Linus reply re waiting list enquiry 1st June 2014 +JP","General Correspondence"
1012,87,Upendo.htm,"~/CMS/Docs/87/General Correspondence/Upendo.htm","Rejection email 2 June 14","General Correspondence"
1013,106,Tanzanianbees.htm,"~/CMS/Docs/106/General Correspondence/Tanzanianbees.htm","Allocation of PO email 2 June 14","General Correspondence"
1014,29,Burungura.htm,"~/CMS/Docs/29/General Correspondence/Burungura.htm","Rejection email 2 June 14","General Correspondence"
1015,95,Kabanga.htm,"~/CMS/Docs/95/General Correspondence/Kabanga.htm","Rejection email 2 June 14","General Correspondence"
1016,89,"Kogondo Elias.htm","~/CMS/Docs/89/General Correspondence/Kogondo Elias.htm","Feedback from Elias Mashasi 6 June 14","General Correspondence"
1017,74,"Bushabani rejection.htm","~/CMS/Docs/74/General Correspondence/Bushabani rejection.htm","Rejection email 2 June 14","General Correspondence"
1018,72,"werudo rejection.htm","~/CMS/Docs/72/General Correspondence/werudo rejection.htm","Rejection email 2 June 2014","General Correspondence"
1019,114,"JUSO rejection.htm","~/CMS/Docs/114/General Correspondence/JUSO rejection.htm","Rejection email 3 June 14","General Correspondence"
1020,65,"Buturi meeting request.htm","~/CMS/Docs/65/General Correspondence/Buturi meeting request.htm","Follow up email to Judith Smith 3 June 14","General Correspondence"
1021,98,"TAMAN rejection.htm","~/CMS/Docs/98/General Correspondence/TAMAN rejection.htm","Rejection email 3 June 1`4","General Correspondence"
1022,85,"Sunrays Childshope Rhobi.htm","~/CMS/Docs/85/General Correspondence/Sunrays Childshope Rhobi.htm","Email to Rhobi 3 June 14","General Correspondence"
1023,88,"Amani rejection.htm","~/CMS/Docs/88/General Correspondence/Amani rejection.htm","Rejection email 3 June 2014","General Correspondence"
1024,96,"WASH rejection.htm","~/CMS/Docs/96/General Correspondence/WASH rejection.htm","Rejection email 3 June 14","General Correspondence"
1025,47,"Macdot rejection.htm","~/CMS/Docs/47/General Correspondence/Macdot rejection.htm","Rejection email 3 June 14","General Correspondence"
1026,104,"SEDEG rejection.htm","~/CMS/Docs/104/General Correspondence/SEDEG rejection.htm","Rejection email 3 June 14","General Correspondence"
1027,102,"TDT project in Igunga District of Tabora.htm","~/CMS/Docs/102/General Correspondence/TDT project in Igunga District of Tabora.htm","Email to Rod Smith of FUM about possible help monitoring this project","General Correspondence"
1028,19,DSC0282.JPG,"~/CMS/Docs/19/Visit Report/DSC0282.JPG","Photo of women's group","Visit Report"
1029,99,"TDT Rusodi Application Form 2012131.doc","~/CMS/Docs/99/Application Form/TDT Rusodi Application Form 2012131.doc","Application Form","Application Form"
1030,123,"Kunambi 1.htm","~/CMS/Docs/123/General Correspondence/Kunambi 1.htm","Initial email correspondence with JDM","General Correspondence"
1031,123,"Kunambi 2.htm","~/CMS/Docs/123/General Correspondence/Kunambi 2.htm","Email saying don't apply 9 June 14","General Correspondence"
1032,124,"Suleiman Edward1.htm","~/CMS/Docs/124/General Correspondence/Suleiman Edward1.htm","Enquiry email","General Correspondence"
1033,124,"Suleiman Edward.htm","~/CMS/Docs/124/General Correspondence/Suleiman Edward.htm","Negative response 9 June 14","General Correspondence"
1035,39,"20140610 Email requesting MULEBA  SCHOOL SOLAR PROJECT Final Report.htm","~/CMS/Docs/39/General Correspondence/20140610 Email requesting MULEBA  SCHOOL SOLAR PROJECT Final Report.htm","Email requesting final report","General Correspondence"
1036,125,TDTApplicationFormSJUT161113.doc,"~/CMS/Docs/125/Application Form/TDTApplicationFormSJUT161113.doc","Application Form","Application Form"
1037,125,"20140602 Email requesting Final Report.htm","~/CMS/Docs/125/General Correspondence/20140602 Email requesting Final Report.htm","Email requesting final report","General Correspondence"
1038,38,"20140610 Grant to Kaibanja Secondary School  Report needed please.htm","~/CMS/Docs/38/General Correspondence/20140610 Grant to Kaibanja Secondary School  Report needed please.htm","Email requesting final report","General Correspondence"
1040,126,"OmurushenyePhotos of the damaged classrooms.docx","~/CMS/Docs/126/Other Correspondence/OmurushenyePhotos of the damaged classrooms.docx","Photos of damaged classrooms","Other Correspondence"
1041,126,"20140309 Email exchange re further Donation for Omurushenye Primary School.htm","~/CMS/Docs/126/General Correspondence/20140309 Email exchange re further Donation for Omurushenye Primary School.htm","2014-03-09 Email re new project funded by Mrs Cutforth","General Correspondence"
1042,126,"20140610 Email to KCDI requesting resport.htm","~/CMS/Docs/126/General Correspondence/20140610 Email to KCDI requesting resport.htm","Email requesting final report","General Correspondence"
1043,67,"Re TDT Project 342 Ebeneza Vocational Training Centre Bank receipt and reply  JP 12 June 2014.eml","~/CMS/Docs/67/General Correspondence/Re TDT Project 342 Ebeneza Vocational Training Centre Bank receipt and reply  JP 12 June 2014.eml","Receipt of funds and replyy JP 12 June 2014","General Correspondence"
1044,121,"5005  VSO Evelyn Mwelu Wasilwa Approved.eml","~/CMS/Docs/121/General Correspondence/5005  VSO Evelyn Mwelu Wasilwa Approved.eml","Grant approved","General Correspondence"
1045,127,"TDTApplicationFormJan2014 2003 SHDEPHA 2014.doc","~/CMS/Docs/127/Application Form/TDTApplicationFormJan2014 2003 SHDEPHA 2014.doc","Application Form","Application Form"
1046,127,"SHDEPHA PROJECT BUDGET.xls","~/CMS/Docs/127/Documents supporting Application form/SHDEPHA PROJECT BUDGET.xls",Budget,"Documents supporting Application form"
1047,127,"RE INTERNET CONNECTION PROBLEM.htm","~/CMS/Docs/127/General Correspondence/RE INTERNET CONNECTION PROBLEM.htm","Initial email and response asking for more information 12 June 14","General Correspondence"
1048,128,9.docx,"~/CMS/Docs/128/Application Form/9.docx","Application Form","Application Form"
1049,128,budget.xls,"~/CMS/Docs/128/Documents supporting Application form/budget.xls",Budget,"Documents supporting Application form"
1050,128,"RE EDUCATION QUALITY IMPROVEMENT PROGRAMME.htm","~/CMS/Docs/128/General Correspondence/RE EDUCATION QUALITY IMPROVEMENT PROGRAMME.htm","Rejection email","General Correspondence"
1051,129,TDTApplicationFormJan2014FINAL.docx,"~/CMS/Docs/129/Application Form/TDTApplicationFormJan2014FINAL.docx","Application Form","Application Form"
1052,129,"Lyamungu computer room budgetFINAL.xlsx","~/CMS/Docs/129/Documents supporting Application form/Lyamungu computer room budgetFINAL.xlsx",Budget,"Documents supporting Application form"
1053,129,"hm 1.PDF","~/CMS/Docs/129/Documents supporting Application form/hm 1.PDF","Headmaster Letter","Documents supporting Application form"
1054,129,door.JPG,"~/CMS/Docs/129/Documents supporting Application form/door.JPG","Photo 1","Documents supporting Application form"
1055,129,infront.JPG,"~/CMS/Docs/129/Documents supporting Application form/infront.JPG","Photo 2","Documents supporting Application form"
1056,129,outside.JPG,"~/CMS/Docs/129/Documents supporting Application form/outside.JPG","Photo 3","Documents supporting Application form"
1057,129,"side a.JPG","~/CMS/Docs/129/Documents supporting Application form/side a.JPG","Photo 4","Documents supporting Application form"
1058,129,"side b.JPG","~/CMS/Docs/129/Documents supporting Application form/side b.JPG","Photo 5","Documents supporting Application form"
1059,129,"RE APPLICATION FOR PROJECT FUNDING.htm","~/CMS/Docs/129/General Correspondence/RE APPLICATION FOR PROJECT FUNDING.htm","Rejection Email","General Correspondence"
1060,130,"TDTApplicationFormJan2014. Mark 2.docx","~/CMS/Docs/130/Application Form/TDTApplicationFormJan2014. Mark 2.docx","Application Form","Application Form"
1061,130,"Project Light  Power Installation of Solar Power  NComputing Hegongo HCHSchool.pdf","~/CMS/Docs/130/Documents supporting Application form/Project Light  Power Installation of Solar Power  NComputing Hegongo HCHSchool.pdf","Description of project","Documents supporting Application form"
1062,130,"RE Grant Application Hegongo Holy Cross High School Magila Tanzania.htm","~/CMS/Docs/130/General Correspondence/RE Grant Application Hegongo Holy Cross High School Magila Tanzania.htm","Rejection email 12 June 14","General Correspondence"
1063,131,"Bureza ICT letter  1 TanzdevTrust.doc","~/CMS/Docs/131/Documents supporting Application form/Bureza ICT letter  1 TanzdevTrust.doc","Letter from Head of School","Documents supporting Application form"
1064,131,"RE SENDING BACKGROUND INFORMATION FOR APPLICATION FOR PROJECT SUPPORT.htm","~/CMS/Docs/131/General Correspondence/RE SENDING BACKGROUND INFORMATION FOR APPLICATION FOR PROJECT SUPPORT.htm","Rejection email 13 June 14","General Correspondence"
1065,132,"TDTApplicationFormJan20141.docx FOR CAMPAIGN AGAINST OLD WOMEN AND ALBINO KILLINGS.docx","~/CMS/Docs/132/Application Form/TDTApplicationFormJan20141.docx FOR CAMPAIGN AGAINST OLD WOMEN AND ALBINO KILLINGS.docx","Application form","Application Form"
1066,132,"RUDEFO   CERTIFICATE OF REGISTRATION.doc","~/CMS/Docs/132/Documents supporting Application form/RUDEFO   CERTIFICATE OF REGISTRATION.doc","Registration certificate","Documents supporting Application form"
1067,132,invoice.pdf,"~/CMS/Docs/132/Documents supporting Application form/invoice.pdf",Invoice,"Documents supporting Application form"
1068,132,"RE Fowarding application form funding for sewing machines request for self help to raise income for the campaign against old women and albino people killings.txt","~/CMS/Docs/132/General Correspondence/RE Fowarding application form funding for sewing machines request for self help to raise income for the campaign against old women and albino people killings.txt","Rejection email","General Correspondence"
1069,122,"ReChris Takyuka rejectiion  TDT APPLICATION FOR SMALL FUNDSCASH PROJECT ZANZIBAR PHASE III.eml","~/CMS/Docs/122/General Correspondence/ReChris Takyuka rejectiion  TDT APPLICATION FOR SMALL FUNDSCASH PROJECT ZANZIBAR PHASE III.eml","Rejeect message to Chris from JP","General Correspondence"
1070,133,"TDTApplicationFormJan2014  FOR WPDG.docx","~/CMS/Docs/133/Application Form/TDTApplicationFormJan2014  FOR WPDG.docx","Application Form","Application Form"
1071,133,"PERFORMA INVOICE.jpg","~/CMS/Docs/133/Documents supporting Application form/PERFORMA INVOICE.jpg","Pro-forma invoice for computers","Documents supporting Application form"
1072,133,"RE Submission of project application for funding Vocational training in ICT for women.txt","~/CMS/Docs/133/General Correspondence/RE Submission of project application for funding Vocational training in ICT for women.txt","Initial emails","General Correspondence"
1073,135,"VSO 5008 Annalies Wissink application form   library.doc","~/CMS/Docs/135/Application Form/VSO 5008 Annalies Wissink application form   library.doc","Application form JP","Application Form"
1074,135,"VSO 5008 Anniliese Wissink letter.jpg","~/CMS/Docs/135/Documents supporting Application form/VSO 5008 Anniliese Wissink letter.jpg","Letter JP","Documents supporting Application form"
1075,135,"VSO 5007 Annaliese Wissink approval.eml","~/CMS/Docs/135/General Correspondence/VSO 5007 Annaliese Wissink approval.eml","Approved message JP 19 June 2014","General Correspondence"
1076,42,"SAFE HOUSE AND VOCATIONAL CENTER CONTRACT.docx","~/CMS/Docs/42/Contract/SAFE HOUSE AND VOCATIONAL CENTER CONTRACT.docx","Project Contract",Contract
1077,42,"Messages re SAFE HOUSE AND VOCATIONAL CENTER CONSTRUCTION CONTRACT and receipt of money.htm","~/CMS/Docs/42/General Correspondence/Messages re SAFE HOUSE AND VOCATIONAL CENTER CONSTRUCTION CONTRACT and receipt of money.htm","2014-06-19 Email exchange re receipt of money, contract and photos","General Correspondence"
1078,38,"KAIBANJA SEKONDARI accounts.pdf","~/CMS/Docs/38/Local Rep Report/KAIBANJA SEKONDARI accounts.pdf","2014-06-19 Copy of accounts requested by Elias Mashasi","Local Rep Report"
1079,38,"20140619 Email  exchange with Elias about receipts from  Kaibanja Secondary.htm","~/CMS/Docs/38/General Correspondence/20140619 Email  exchange with Elias about receipts from  Kaibanja Secondary.htm","2014-06-19 Email exchange with Elias Mashasi about accounts","General Correspondence"
1080,1,"Construction of toilets at Maganzo.docx","~/CMS/Docs/1/Project Report/Construction of toilets at Maganzo.docx","Photos of loos under construction","Project Report"
1081,79,"20140620 Email exchange with DC re Matongo Dispensary and Staff House.htm","~/CMS/Docs/79/Visit Report/20140620 Email exchange with DC re Matongo Dispensary and Staff House.htm","2014-06-20 Visit by Butiama DC and email exchange","Visit Report"
1082,42,"RECEIVED FUNDS.docx","~/CMS/Docs/42/Other Correspondence/RECEIVED FUNDS.docx","2014-06-20 Bank statement showing money received","Other Correspondence"
1083,79,"20140621 Email exchange with Cllr Masero re   Matongo Dispensary and Staff House.htm","~/CMS/Docs/79/General Correspondence/20140621 Email exchange with Cllr Masero re   Matongo Dispensary and Staff House.htm","2014-06-22 Email exchange with Cllr Masero re status of Staff House and new requets","General Correspondence"
1084,79,"Matongo staff house roofing complete..JPG","~/CMS/Docs/79/Visit Report/Matongo staff house roofing complete..JPG","Photo of staff house with roof installed","Visit Report"
1085,125,IMG20140516121052.jpg,"~/CMS/Docs/125/Project Report/IMG20140516121052.jpg","Photo of unpacking","Project Report"
1086,125,IMG20140605104712.jpg,"~/CMS/Docs/125/Project Report/IMG20140605104712.jpg","Photo of student using oscilloscope","Project Report"
1087,54,"Rubale message re reporting problems and my reply JP June 2014.eml","~/CMS/Docs/54/Project Report/Rubale message re reporting problems and my reply JP June 2014.eml","Pproblems re reporting from co0ordinator","Project Report"
1088,54,"R Kasaaju Rubale and Izimbya June 24th.eml","~/CMS/Docs/54/General Correspondence/R Kasaaju Rubale and Izimbya June 24th.eml","R Kasaaju re Rubale non reporting etc","General Correspondence"
1089,56,"Mnubi VSO Re Ikimba project project on Library training etc.eml","~/CMS/Docs/56/General Correspondence/Mnubi VSO Re Ikimba project project on Library training etc.eml","Email re repoprt from Mnujbi and Kailembo and replies from JO  24th June 2014","General Correspondence"
1090,56,"Mnubi  Ikimba projects from Kailembo June 2014.eml","~/CMS/Docs/56/General Correspondence/Mnubi  Ikimba projects from Kailembo June 2014.eml","Email re repoprt from Mnubi and Kailembo and replies from JO  24th June 2014","General Correspondence"
1092,63,"Annual report  2014 Small Grant Scheme for VSO volunteers final JP.docx","~/CMS/Docs/63/Project Report/Annual report  2014 Small Grant Scheme for VSO volunteers final JP.docx","Summary of VSO grants for annual report June 2014","Project Report"
1093,63,"Annual report  2014 Small Grant Scheme for VSO volunteers reduced version.  JP.docx","~/CMS/Docs/63/Project Report/Annual report  2014 Small Grant Scheme for VSO volunteers reduced version.  JP.docx","Annual report summary - reduced version June 2014","Project Report"
1094,13,"RE IKONDO SECONDARY SCHOOL PROJECT 2013..htm","~/CMS/Docs/13/General Correspondence/RE IKONDO SECONDARY SCHOOL PROJECT 2013..htm","Email chain querying status June 14","General Correspondence"
1095,136,"TDTApplicationFormJan2014  KIGOMA1.docx","~/CMS/Docs/136/Application Form/TDTApplicationFormJan2014  KIGOMA1.docx","Application Form","Application Form"
1096,136,"FPA REGISTRATION.pdf","~/CMS/Docs/136/Documents supporting Application form/FPA REGISTRATION.pdf","FPA registration","Documents supporting Application form"
1097,136,receipt.jpg,"~/CMS/Docs/136/Documents supporting Application form/receipt.jpg",Receipt,"Documents supporting Application form"
1098,136,"RE Submission of application form for funding request on solar power panels for Mgambazi and Kapalamsenga Dispenaries.txt","~/CMS/Docs/136/General Correspondence/RE Submission of application form for funding request on solar power panels for Mgambazi and Kapalamsenga Dispenaries.txt","Email chain June 14","General Correspondence"
1099,137,TDTApplicationFormJan2014.docx,"~/CMS/Docs/137/Application Form/TDTApplicationFormJan2014.docx","Application Form","Application Form"
1100,137,"SEDEG REGISTRATION CERTIFICATE.pdf","~/CMS/Docs/137/Documents supporting Application form/SEDEG REGISTRATION CERTIFICATE.pdf","Registration Certificate","Documents supporting Application form"
1101,137,invoice.jpg,"~/CMS/Docs/137/Documents supporting Application form/invoice.jpg",Invoice,"Documents supporting Application form"
1102,137,"RE Submission  of aplication  form for  vocationa training  to self help  group in Maswa .htm","~/CMS/Docs/137/General Correspondence/RE Submission  of aplication  form for  vocationa training  to self help  group in Maswa .htm","Email chain June/July 14","General Correspondence"
1103,138,"TDTApplicationFormJan20142.for  funding.doc","~/CMS/Docs/138/Application Form/TDTApplicationFormJan20142.for  funding.doc","Original Application Form","Application Form"
1104,138,"TDTApplicationFormJan20142 marked up to show plagarism.doc","~/CMS/Docs/138/Application Form/TDTApplicationFormJan20142 marked up to show plagarism.doc","Application Form marked up to show plagarism","Application Form"
1105,138,"INVOICE  FOR  SEWING  MACHINES.jpg","~/CMS/Docs/138/Documents supporting Application form/INVOICE  FOR  SEWING  MACHINES.jpg",Invoice,"Documents supporting Application form"
1106,138,"CERTIFICATE OF REGISTRATION   FOR FOSOESE.pdf","~/CMS/Docs/138/Documents supporting Application form/CERTIFICATE OF REGISTRATION   FOR FOSOESE.pdf","Registration certificate","Documents supporting Application form"
1107,138,"RE Submission of application form for project funding request on tailoring vocational training.txt","~/CMS/Docs/138/General Correspondence/RE Submission of application form for project funding request on tailoring vocational training.txt","email chain June/July 14","General Correspondence"
1108,38,"Report on visit of TDT Kagera Rep  at Kaibanja Sec  School  Jul  2014.docx","~/CMS/Docs/38/Visit Report/Report on visit of TDT Kagera Rep  at Kaibanja Sec  School  Jul  2014.docx","2014-07-4 Project visit by Local Representative, Elias Mashasi","Visit Report"
1109,139,TDTApplicationForm201311.doc,"~/CMS/Docs/139/Application Form/TDTApplicationForm201311.doc","Application Form","Application Form"
1110,139,"Albert Kahai MASWA GIRLS REPORT March 2014.docx","~/CMS/Docs/139/Local Rep Report/Albert Kahai MASWA GIRLS REPORT March 2014.docx","Albert's report","Local Rep Report"
1111,56,"Annual report for Ikimba schools 2014.docx","~/CMS/Docs/56/Project Report/Annual report for Ikimba schools 2014.docx","Annual report for 2014 Ikimba schools","Project Report"
1112,1,"MAGANZO VTC PROGRESS REPORT.pdf","~/CMS/Docs/1/Project Report/MAGANZO VTC PROGRESS REPORT.pdf","2014-06-30 Report from Project Director William Shayo","Project Report"
1113,1,"2014705 Message from JDM on Opening of Maganzo VTC.htm","~/CMS/Docs/1/General Correspondence/2014705 Message from JDM on Opening of Maganzo VTC.htm","2014-07-05 Email from JDM on the occasion of the opening of the Centre","General Correspondence"
1114,1,"Shinyanga Project visit report.docx","~/CMS/Docs/1/Local Rep Report/Shinyanga Project visit report.docx","2014-07-06 Report from Local Rep, Albert Kahai on the opening of the Maganzo VTC","Local Rep Report"
1115,39,kadeta.doc,"~/CMS/Docs/39/Project Report/kadeta.doc","2014-07-02 Final report from KADETA","Project Report"
1116,39,DSCN9976.JPG,"~/CMS/Docs/39/Project Report/DSCN9976.JPG","Photo of building with solar installation","Project Report"
1117,39,DSCN9977.JPG,"~/CMS/Docs/39/Project Report/DSCN9977.JPG","Photo of switch gear","Project Report"
1118,115,"Masekelo School desks First email re application ref no 370 Masekelo School.eml","~/CMS/Docs/115/General Correspondence/Masekelo School desks First email re application ref no 370 Masekelo School.eml","Email re agreement to proceed and first questions","General Correspondence"
